Time,Velocity,Displacement
51.71,-0.0013978839121380217,-0.06567257660199827
51.715,-0.0015172513114649485,-0.0656801628585556
51.72,-0.0013692069272456453,-0.06568700889319183
51.725,-0.0014618430598653176,-0.06569431810849115
51.73,-0.0015067004798564692,-0.06570185161089043
51.735,-0.0012841605665847404,-0.06570827241372335
51.74,-0.0015963865456178408,-0.06571625434645144
51.745,-0.0014247821501546104,-0.06572337825720222
51.75,-0.0013421722580213655,-0.06573008911849232
51.755,-0.0012300405012660106,-0.06573623932099865
51.76,-0.0019748740738313587,-0.0657461136913678
51.765,-0.0017193452315809447,-0.06575471041752572
51.77,-0.0021499423824084753,-0.06576546012943775
51.775,-0.0022582590124228235,-0.06577675142449987
51.78,-0.0024585590512720555,-0.06578904421975623
51.785,-0.002914485729005664,-0.06580361664840126
51.79,-0.003196139610249433,-0.06581959734645251
51.795,-0.0037462612096576674,-0.06583832865250079
51.8,-0.00394827674264286,-0.06585807003621401
51.805,-0.003982851724153747,-0.06587798429483477
51.81,-0.004864686271714896,-0.06590230772619335
51.815,-0.0052879426204008656,-0.06592874743929535
51.82,-0.005925625784228162,-0.06595837556821649
51.825,-0.006157628683314979,-0.06598916371163306
51.83,-0.007155247892796083,-0.06602493995109704
51.835,-0.007317901773676758,-0.06606152945996542
51.84,-0.0076250865862760924,-0.0660996548928968
51.845,-0.008010088393129283,-0.06613970533486245
51.85,-0.007437328239322156,-0.06617689197605907
51.855,-0.006743173392178101,-0.06621060784301995
51.86,-0.006094214600220109,-0.06624107891602105
51.865,-0.00466299526758786,-0.06626439389235898
51.87,-0.0031748016587370286,-0.06628026790065267
51.875,-0.0016262617799551937,-0.06628839920955244
51.88,-6.653634848857532e-05,-0.06628873189129489
51.885,0.0011138862941891582,-0.06628316245982395
51.89,0.0018507342456515396,-0.06627390878859568
51.895,0.0028441521141879646,-0.06625968802802475
51.9,0.0035141616344279256,-0.06624211721985261
51.905,0.004557654820362105,-0.0662193289457508
51.91,0.005093318166009972,-0.06619386235492075
51.915,0.006699041595520506,-0.06616036714694315
51.92,0.008884628347281383,-0.06611594400520673
51.925,0.01721859764872238,-0.06602985101696313
51.93,0.05980554852079548,-0.06573082327435914
51.935,0.09687907970282805,-0.065246427875845
51.94,0.06579530198148036,-0.06491745136593759
51.945,0.01650445267037593,-0.06483492910258572
51.95,0.00755658599580314,-0.06479714617260669
51.955,0.005109860868936014,-0.06477159686826202
51.96,0.0032551875019124214,-0.06475532093075245
51.965,0.002287182008311862,-0.06474388502071089
51.97,0.0009518416511728413,-0.06473912581245504
51.975,0.00037368652625252796,-0.06473725737982378
51.98,-0.0006687676729444731,-0.0647406012181885
51.985,-0.0014741190659403323,-0.0647479718135182
51.99,-0.0024579105822014925,-0.0647602613664292
51.995,-0.0031464207051392456,-0.06477599346995491
52.0,-0.0038131756881630394,-0.06479505934839573
52.005,-0.004364453854170644,-0.06481688161766658
52.01,-0.004785931950278603,-0.06484081127741798
52.015,-0.004936624084787984,-0.06486549439784191
52.02,-0.004372223785420727,-0.06488735551676901
52.025,-0.003619267335449467,-0.06490545185344626
52.03,-0.002187482683332607,-0.06491638926686293
52.035,-0.0004987781340665655,-0.06491888315753326
52.04,0.0012886096248357123,-0.06491244010940908
52.045,0.0030948416346654874,-0.06489696590123575
52.05,0.00429681424370621,-0.06487548183001722
52.055,0.005165427411967069,-0.06484965469295739
52.06,0.005508944144152553,-0.06482210997223663
52.065,0.005384590916458481,-0.06479518701765434
52.07,0.004971110538570237,-0.06477033146496149
52.075,0.004452483995580783,-0.06474806904498359
52.08,0.0037215434717430967,-0.06472946132762487
52.085,0.003155340947561393,-0.06471368462288707
52.09,0.002568199411006587,-0.06470084362583203
52.095,0.0017204655766920103,-0.06469224129794857
52.1,0.0014444610060878992,-0.06468501899291813
52.105,0.0011885637713475307,-0.06467907617406139
52.11,0.000976864264755378,-0.06467419185273762
52.115,0.0007868279688258945,-0.06467025771289349
52.12,0.0006342613726819456,-0.06466708640603008
52.125,0.0007146381919819418,-0.06466351321507018
52.13,0.0007123863323048432,-0.06465995128340865
52.135,0.0007774238304251285,-0.06465606416425654
52.14,0.000955242488131297,-0.06465128795181588
52.145,0.0011728007438880667,-0.06464542394809643
52.15,0.0014270529898355916,-0.06463828868314725
